_	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	
1	0	8	10	11	12	13	12	13	5	9	11	12	13	10	13	4	11	10	10	2	6	11	13	5	
2	8	0	4	9	10	11	10	13	11	11	13	6	13	2	13	10	5	12	12	10	12	5	13	11	
3	10	4	0	11	13	13	12	9	12	9	11	4	10	5	11	8	5	12	11	11	12	2	12	9	
4	11	9	11	0	9	8	2	12	12	4	12	13	11	10	6	9	13	12	5	12	11	12	5	11	
5	12	10	13	9	0	2	8	5	9	12	5	12	6	11	11	12	11	4	12	13	11	13	12	11	
6	13	11	13	8	2	0	9	6	11	12	4	11	5	10	12	11	12	5	12	12	9	13	11	12	
7	12	10	12	2	8	9	0	11	11	5	12	13	12	9	5	11	13	12	4	11	12	11	6	9	
8	13	13	9	12	5	6	11	0	12	10	4	11	2	13	8	11	12	5	11	13	13	10	10	10	
9	5	11	12	12	9	11	11	12	0	13	12	9	13	12	10	5	8	11	13	6	2	12	11	4	
10	9	11	9	4	12	12	5	10	13	0	8	11	11	12	4	11	12	9	2	10	13	11	5	12	
11	11	13	11	12	5	4	12	4	12	8	0	9	5	12	10	13	11	2	9	10	11	12	11	13	
12	12	6	4	13	12	11	13	11	9	11	9	0	12	5	9	12	2	11	12	11	8	5	10	12	
13	13	13	10	11	6	5	12	2	13	11	5	12	0	13	10	10	11	4	10	13	12	9	8	11	
14	10	2	5	10	11	10	9	13	12	12	12	5	13	0	13	11	6	13	11	8	11	4	13	10	
15	13	13	11	6	11	12	5	8	10	4	10	9	10	13	0	13	10	11	5	13	11	12	2	12	
16	4	10	8	9	12	11	11	11	5	11	13	12	10	11	13	0	12	13	12	5	4	9	12	2	
17	11	5	5	13	11	12	13	12	8	12	11	2	11	6	10	12	0	9	11	12	9	4	9	12	
18	10	12	12	12	4	5	12	5	11	9	2	11	4	13	11	13	9	0	8	11	12	11	10	13	
19	10	12	11	5	12	12	4	11	13	2	9	12	10	11	5	12	11	8	0	9	13	9	4	11	
20	2	10	11	12	13	12	11	13	6	10	10	11	13	8	13	5	12	11	9	0	5	10	13	4	
21	6	12	12	11	11	9	12	13	2	13	11	8	12	11	11	4	9	12	13	5	0	12	10	5	
22	11	5	2	12	13	13	11	10	12	11	12	5	9	4	12	9	4	11	9	10	12	0	11	8	
23	13	13	12	5	12	11	6	10	11	5	11	10	8	13	2	12	9	10	4	13	10	11	0	13	
24	5	11	9	11	11	12	9	10	4	12	13	12	11	10	12	2	12	13	11	4	5	8	13	0	
